,index,movieName,databaseId,movielensId,reviewId
66,66,Police Story 2 (2007),76847,-1,
67,67,Veronica Mars (2014),76849,109864,
68,68,Project Almanac (2015),76861,127096,
69,69,One Piece Film: Strong World (2009),76887,106471,
70,70,First Sunday (2008),76935,57522,4640139
71,71,Harry Potter and the Goblet of Fire (2005),76940,40815,194666
72,72,Uptown Saturday Night (1974),77043,7275,
73,73,Christmas in Love (2004),77045,-1,
74,74,Identity (2003),77066,6323,22729
75,75,Jack Reacher (2012),77115,99112,9166
76,76,Insidious,77128,85788,
77,77,Not Fade Away (2012),77136,99217,6784127
78,78,The Living Daylights (1987),77140,4005,9652723
79,79,The Lovely Bones (2009),77141,72731,5123900
80,80,Flypaper (2011),77154,91474,
81,81,A Nightmare on Elm Street (1984),77161,1347,677341
82,82,Straight to Hell (1987),77176,7878,
83,83,Lethal Weapon 4 (1998),77190,1918,
84,84,Bee Movie (2007),77195,55768,
85,85,Beethoven's 2nd (1993),77216,6794,
86,86,They Look Like People (2015),77253,145070,
87,87,Fighter in the Wind (2004),77267,34231,7902071
88,88,A Wrinkle in Time,77293,184987,
89,89,Oklahoma (1979),77306,-1,
90,90,Cleopatra (1970),77330,-1,2671865
91,91,Harold and Maude (1971),77352,1235,6496642
92,92,Black Beauty (1994),77358,421,9449898
93,93,Encino Man (1992),77363,3243,
94,94,Full Metal Jacket (1987),77376,1222,211578
95,95,American Pie Presents: Band Camp,77384,-1,
96,96,Shade (2003),77388,7383,
97,97,How the West Was Won (1962),77415,8661,162047
98,98,Citizen Kane (1941),77455,923,741217
99,99,Yes (2004),77478,33832,3617255
100,100,Contract (2008),77485,-1,
101,101,Triangle (2009),77521,74228,5368238
102,102,Contact (1997),77542,1584,645665
103,103,"We, the Women (1953)",77552,-1,
104,104,The Librarians (2001),77576,-1,
105,105,Along Came Polly,77597,7173,
106,106,17 Again (2009),77609,68135,
107,107,Sky High (2003),77610,144522,3392708
108,108,Abraham Lincoln: Vampire Hunter (2012),77627,95207,6186515
109,109,Leprechaun (1993),77628,7117,200152
110,110,Fred (2014),77636,-1,
111,111,Peter Pan (2003),77651,7164,9449826
112,112,The World's End (2013),77666,103341,
113,113,Star Trek Into Darkness (2013),77670,102445,499536
114,114,Indiana Jones and the Last Crusade (1989),77684,1291,898443
115,115,Wolf Creek (2005),77693,40723,
116,116,The Heist (2008),77696,-1,
117,117,White House Down (2013),77697,103339,6836365
118,118,WALL-E (2008),77707,-1,
119,119,The Humanoid (1979),77737,126591,9505761
120,120,National Treasure,77747,8972,
121,121,Ring 2 (1999),77785,-1,
122,122,Clerks (1994),77788,223,
123,123,Prom Night (1980),77793,1987,4791966
124,124,A Perfect Murder (1998),77798,1892,
125,125,Stuck on You (2003),77806,7150,
126,126,Live Free or Die (2006),77818,67138,4066549
127,127,In Good Company (2004),77866,30822,
128,128,The Ring (2017),77867,-1,842648
129,129,The Expendables,77868,79695,
130,130,Four Sisters and a Wedding (2013),77888,-1,
131,131,Cars 3 (2009),77894,-1,9761306
132,132,Spy Game (2001),77898,4901,
133,133,Fatal Bond (1992),77905,-1,
134,134,Strange Wilderness (2008),77910,57536,
135,135,War Room (2015),77918,141668,9013923
136,136,Ong-Bak: Muay Thai Warrior (2003),77925,-1,
137,137,Akira (1988),77945,1274,453551
138,138,A Low Down Dirty Shame (1994),77946,387,
139,139,Black Mass (2015),77983,136018,232011
140,140,The First Power (1990),77986,108282,
141,141,Death Wish (1974),78010,3430,
142,142,Kagemusha (1980),78019,3091,308185
143,143,The Double Life of Veronique (1991),78035,-1,4383754
144,144,Wish I Was Here (2014),78058,112946,8145535
145,145,Robin Hood (1991),78062,176267,1320631
146,146,Ed Wood (1994),78076,235,911608
147,147,Wood Love (1925),78099,-1,
148,148,Enemy (2015),78108,-1,9517861
149,149,Joe Dirt 2: Beautiful Loser (2015),78132,138798,9108770
150,150,Chiko (2008),78154,109893,9678716
151,151,Willy Wonka & the Chocolate Factory (1971),78168,1073,
152,152,The Terminal (2004),78172,8529,50245
153,153,Scary Movie (2000),78186,3785,194114
154,154,Texas Chainsaw 3D (2013),78201,99721,
155,155,Run Fatboy Run (2007),78207,58162,
156,156,The Producers (2005),78233,42002,71337
157,157,Halloweentown,78241,125970,
158,158,The Room (2003),78267,74754,3687330
159,159,Billy Elliot (2000),78326,3967,166744
160,160,Deadpool (2016),78340,122904,777967
161,161,The Ghost and the Darkness (1996),78343,1049,
162,162,Burglar (1987),78352,3715,
163,163,Soylent Green (1973),78354,2009,
164,164,Holy Water (2009),78361,122455,
165,165,Percy Jackson,78373,-1,
166,166,Houseful (2009),78399,-1,
167,167,The Avengers (2012),78418,89745,512755
168,168,Twisted (2004),78426,7321,3161047
169,169,Battlefield Earth (2000),78436,3593,
170,170,Valentine (2001),78445,4143,1513275
171,171,Paprika (2006),78453,-1,
172,172,Kingdom of Heaven (2005),78475,33162,8139691
173,173,Murder in the First (1995),78479,280,
174,174,The Green Mile (1999),78480,3147,333286
175,175,Over the Top (1987),78491,7016,817665
176,176,Superman II (1980),78504,2641,
177,177,The Slammin' Salmon (2009),78510,76060,
178,178,The Return of the Pink Panther (1975),78531,1125,
179,179,Much Ado About Nothing (1993),78559,497,2552861
180,180,A Time to Kill (1996),78562,805,
181,181,The Incredible Invasion (1971),78566,-1,
182,182,The Host (2013),78634,101577,4103378
183,183,Criminal (2016),78639,135530,9666039
184,184,Taxi (2004),78644,8912,1948325
185,185,Zeitgeist (2007),78664,-1,
186,186,Resolution (2012),78665,102066,4149711
187,187,They Live (1988),78670,4553,1036835
188,188,I Think I Love My Wife (2007),78673,51903,
189,189,Saturday Night Fever (1977),78719,5693,525220
190,190,Snow White and the Seven Dwarfs (1937),78766,594,762613
191,191,Not Another Happy Ending (2013),78779,125912,7548898
192,192,The In-Laws (1979),78799,26425,
193,193,The Spy Next Door (2010),78801,74580,5417425
194,194,The Shaggy Dog (2006),78804,44399,
195,195,Paparazzi (2004),78807,8835,1928883
196,196,Psycho (2008),78824,-1,866250
197,197,Looney Tunes Super Stars' Bugs Bunny: Wascally Wabbit,78854,-1,
198,198,Mom and Dad Save the World (1992),78869,49110,
199,199,Click (2006),78874,45672,477276
200,200,Saw VI (2009),78887,72129,5225814
201,201,Eraser (1996),78888,786,
202,202,Dusk to Dawn (1922),78925,-1,
203,203,Once Upon a Time in the West (1968),78926,-1,
204,204,The Adventures of Pinocchio (1996),78929,828,9485050
205,205,Man-Proof (1938),78943,123401,
206,206,It's a Free World... (2007),78950,58029,
207,207,Norbit (2007),78958,50806,
208,208,The Haunting (1999),78977,2719,7174983
209,209,Outland (1981),79001,4443,
210,210,Thelma,79045,178335,8164062
211,211,Alien (1979),79062,1214,605337
212,212,Bullets over Broadway (1994),79072,-1,
213,213,Raging Bull (1980),79106,1228,763231
214,214,Uprising (2001),79114,27372,
215,215,Dances with Wolves (1990),79136,590,
216,216,For a Few Dollars More (1965),79142,-1,
217,217,Oz the Great and Powerful (2013),79153,101112,
218,218,Giant (1956),79187,948,
219,219,The Wild Geese (1978),79205,40973,
220,220,May (2002),79206,6063,2743611
221,221,Absolutely Anything (2015),79266,135885,8965042
222,222,West Side Story (1961),79278,1947,
223,223,Bitter Harvest (2016),79284,-1,9540071
224,224,The Parent Trap (1961),79289,1013,
225,225,Open Season (2006),79313,48414,
226,226,Contact (2009),79320,-1,645665
227,227,The Other Sister (1999),79341,2506,
228,228,"The Way, Way Back (2013)",79370,102993,7339283
229,229,Chicken Little (2005),79379,40339,
230,230,Night of the Living Dead (1968),79385,968,4825294
231,231,Anatomy of a Murder (1959),79401,3801,
232,232,Mortal Kombat: Rebirth (2010),79407,-1,
233,233,Kubo and the Two Strings (2016),79408,162578,
234,234,Machete Kills (2013),79421,-1,7342778
235,235,Cannibal! The Musical (1993),79429,-1,
236,236,Wild Thing (1987),79439,130237,
237,237,Predator,79451,3527,5296690
238,238,The Tree of Life (2011),79464,86898,9777074
239,239,Dragnet (1987),79468,7102,2230555
240,240,Monster House (2006),79512,46948,
241,241,Air Bud (1997),79543,1592,
242,242,The Disappearance of McKinley Nolan (2010),79553,-1,
243,243,Drag Me to Hell (2009),79665,68952,760098
244,244,"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",79689,6991,
245,245,The Hurt Locker (2008),79698,69481,171186
246,246,Fat Albert (2004),79707,30883,
247,247,The Last Boy Scout (1991),79743,7007,
248,248,China (2016),79750,-1,
249,249,8 Heads in a Duffel Bag (1997),79752,1503,
250,250,Bully (2001),79755,4450,
251,251,Gran Torino (2008),79779,64614,487241
252,252,Homeward Bound II: Lost in San Francisco (1996),79811,609,
253,253,We're Back! A Dinosaur's Story (1993),79815,3400,
254,254,The Divergent Series: Insurgent (2015),79824,-1,
255,255,The Skeleton Key (2005),79834,34532,
256,256,The Mask (1988),79851,156708,729345
257,257,The Time Machine (2002),79856,5171,9635999
258,258,The Bible: In the Beginning... (1966),79863,-1,
259,259,Puncture (2011),79888,90471,6300719
260,260,The Debt (2010),79894,-1,3862434
261,261,The Gladiator (1986),79924,-1,2252971
262,262,Fifty Shades of Grey (2015),79935,125916,628364
263,263,Deranged (1974),79945,8139,7606743
264,264,A Christmas Carol (2009),79954,72294,3464717
265,265,Split (2017),79968,166534,826977
266,266,Bully (2011),79978,94130,
267,267,Cinderella (1994),79989,111961,865233
268,268,The Amazing Spider-Man 2 (2014),80009,110553,
269,269,Maverick (1994),80014,368,
270,270,War of the Buttons (2011),80024,145731,
271,271,Lady in White (1988),80038,-1,
272,272,Toy Story (1995),80067,1,495881
273,273,Home for Christmas (2010),80074,-1,
274,274,Can't Hardly Wait,80108,1895,
275,275,Omen (2003),80131,-1,9546539
276,276,Project A (1983),80133,-1,
277,277,Boy Wonder (2010),80178,106254,6130294
278,278,Planes: Fire & Rescue (2014),80188,112460,
279,279,Boat Trip (2002),80203,-1,
280,280,The Devil Wears Prada (2006),80208,45720,60353
281,281,A Serious Man (2009),80213,71464,5288761
282,282,Jennifer's Body (2009),80235,71205,
283,283,Annie (1982),80240,4039,18245
284,284,Zinda (2006),80264,-1,9636245
285,285,The Lion King II: Simba's Pride (1998),80284,26999,
286,286,Die,80289,100056,8164062
287,287,The Creeper (1948),80306,-1,
288,288,Mission: Impossible,80325,648,
289,289,Annie (2014),80336,120132,18245
290,290,Under the Shadow (2016),80429,155625,
291,291,Jaws in Japan (2009),80442,-1,
292,292,F (2010),80446,-1,
293,293,Friday After Next (2002),80448,5874,2144243
294,294,A Simple Plan (1998),80519,2391,1095003
295,295,I Am Really Sorry (1976),80534,-1,
296,296,Dragonball Evolution (2009),80576,67867,
297,297,The Handmaiden (2016),80587,158783,
298,298,All's Faire in Love (2009),80598,98842,6434620
299,299,Godzilla: Tokyo S.O.S. (2003),80603,-1,
300,300,Moses (1995),80649,161496,
301,301,The Cat and the Kit (1925),80683,-1,
302,302,Sister Act (1992),80685,3247,
303,303,Wild (2016),80691,158840,8459665
304,304,Anaconda (1997),80699,1499,
305,305,Next of Kin (1989),80716,4629,
306,306,Boiler Room (2000),80769,3298,9463676
307,307,Vengeance (1968),80811,142352,5437974
308,308,Early Man,80865,183833,
309,309,"Good Morning, Vietnam (1987)",80886,3448,218899
310,310,The Cave (2005),80918,36509,
311,311,Night Falls on Manhattan (1997),80966,-1,
312,312,The Great Beauty (2013),80981,-1,
313,313,Boo! A Madea Halloween (2016),80985,168408,
314,314,Police Academy,81006,2378,
315,315,Third Man on the Mountain (1959),81024,-1,
316,316,We're the Millers (2013),81075,104211,593301
317,317,Cube 2: Hypercube (2002),81078,27482,
318,318,How to Train Your Dragon 2 (2014),81080,112175,7723143
319,319,Holidays (2016),81087,157881,9343757
320,320,X (1986),81108,-1,5953019
321,321,It Comes at Night (2017),81135,170945,
322,322,Friday (1995),81162,69,
323,323,Date with an Angel (1987),81165,3393,
324,324,The Pacifist (1970),81196,158799,
325,325,Freebie and the Bean (1974),81209,61934,
326,326,Religulous (2008),81232,59126,4813132
327,327,S (2012),81234,-1,
328,328,Them! (1954),81265,2287,
329,329,Movie 43 (2013),81296,100083,7004295
330,330,Haunted Rooh (2016),81307,-1,
331,331,Johnny Be Good (1988),81316,4516,9603417
332,332,Waiting for Forever (2010),81317,89217,
333,333,Once Upon a Time in China,81353,-1,
334,334,Fargo (1996),81385,608,255023
335,335,The Mission (1986),81415,2745,458553
336,336,The Man in the Moon (1991),81416,4061,
337,337,A Serbian Film (2010),81432,-1,
338,338,Annie (1976),81468,129374,18245
339,339,The Rise of the Krays (2015),81469,141916,
340,340,Captain Corelli's Mandolin (2001),81474,4727,136635
341,341,Triangle (2009),81475,74228,5368238
342,342,Dinosaur (2000),81492,3615,
343,343,Black Beauty (1971),81530,8929,9449898
344,344,Lego Marvel Super Heroes: Maximum Overload (2013),81559,-1,
345,345,Batman Returns (1992),81563,1377,323926
346,346,Flight (2012),81568,97923,289702
347,347,The Purple Rose of Cairo (1985),81617,2065,
348,348,Expelled from Paradise,81625,117446,
349,349,13 Going on 30 (2004),81660,7444,
350,350,Life (2007),81669,-1,263456
351,351,Hall Pass,81702,85022,
352,352,The Importance of Being Earnest (2002),81715,5380,2509351
353,353,"Red Firecracker, Green Firecracker (1994)",81748,-1,
354,354,Never Say Die (1939),81775,-1,
355,355,Zootopia,81792,152081,7276826
356,356,Filth (2013),81805,105593,
357,357,Monster (2008),81819,122774,10389
358,358,Spirited Away,81860,-1,9692916
359,359,The Treasure of the Sierra Madre (1948),81865,1254,
360,360,A Quiet Place to Kill (1970),81878,133093,9795561
361,361,Écoute voir (1979),81881,-1,
362,362,The Magnificent Nine,81898,-1,
363,363,Son of Flubber (1963),81916,2098,
364,364,Miss You Already (2015),81919,144698,9113657
365,365,Rocky Balboa (2006),81968,49651,4012358
366,366,The Prophecy (1995),82001,188,
367,367,The Killer Inside Me (2010),82020,78679,9434302
368,368,Perfume (2001),82022,124544,
369,369,Ruby Sparks (2012),82029,95873,
370,370,Prancer (1989),82041,2400,2174415
371,371,Cyborg X,82075,161288,9749634
372,372,Last Days in Vietnam (2014),82087,127441,
373,373,How to Steal a Million (1966),82145,8033,
374,374,Super Size Me (2004),82153,8464,
375,375,Julia's Eyes (2010),82201,-1,5954750
376,376,Top Secret! (1984),82233,5500,515046
377,377,The Client (1994),82284,350,
378,378,The Maltese Falcon (1941),82321,913,
379,379,Wallace & Gromit: The Curse of the Were-Rabbit (2005),82330,-1,
380,380,Into Temptation (2009),82346,-1,5284382
381,381,Memories of Murder (2003),82353,-1,3540763
382,382,The Hidden (1987),82380,3576,
383,383,Wall Street (1987),82417,4007,1691581
384,384,The French Connection (1971),82419,1953,
385,385,Coming Home (1978),82421,3724,8476996
386,386,Devil's Knot (2013),82430,110828,7854461
387,387,Something Wicked This Way Comes (1983),82446,2097,
388,388,New Jersey Drive (1995),82467,283,
389,389,The Haunting in Connecticut (2009),82473,67186,5199370
390,390,What's Eating Gilbert Grape (1993),82476,337,
391,391,Jacob and Esau,82484,-1,
392,392,MASH (1970),82497,-1,714800
393,393,Anonymous (2011),82536,90645,6431384
394,394,Conviction (2010),82537,80939,9595782
395,395,Hardcore Henry (2015),82567,142509,
396,396,The Wild Bunch (1969),82569,599,
397,397,Psycho (1998),82596,2389,866250
398,398,The Goonies (1985),82602,2005,9558501
399,399,My Super Ex-Girlfriend,82631,45732,
400,400,The Equalizer (2014),82641,112171,156683
401,401,Waco: A New Revelation (1999),82650,97134,9497627
402,402,Into the Blue (2005),82657,37853,
403,403,Stuart Little (1999),82756,3157,1289748
404,404,Death Race (2008),82763,61248,4991501
405,405,The Star of Santa Clara (1958),82766,-1,
406,406,When We First Met,82775,184015,
407,407,A Perfect World (1993),82795,507,
408,408,Diary of a Wimpy Kid,82808,77206,
409,409,Miles Ahead (2015),82830,-1,9355279
410,410,The Last Unicorn (1982),82857,6093,
411,411,Cannibal (2006),82858,173519,3926829
412,412,Day of the Dead (1985),82871,6731,4495404
413,413,Sex and the City 2 (2010),82876,78174,
414,414,Cabin in the Sky (1943),82893,47493,
415,415,Frozen (2013),82894,106696,579261
416,416,Minions (2015),82923,135887,85532
417,417,Heist (2015),82955,146900,9691162
418,418,The Bear (1988),82969,-1,
419,419,The Overnight (2015),82990,127204,8897934
420,420,Day Watch (2006),83006,-1,5048993
421,421,Scream 4 (2011),83057,86295,5825972
422,422,Free Fire (2016),83101,-1,
423,423,The Neon Demon (2016),83105,155064,
424,424,Can-Can (1960),83116,67892,
425,425,Final Destination 5 (2011),83132,88932,
426,426,Acts of Worship (2001),83180,33092,3400475
427,427,What Lies Beneath (2000),83192,3798,
428,428,Ninja Scroll (1993),83236,-1,
429,429,The House (1983),83243,-1,
430,430,It Could Happen to You (1994),83274,361,
431,431,Haunted House (2004),83305,-1,
432,432,Jump (1999),83321,-1,9784308
433,433,The 10th Kingdom,83343,27251,
434,434,The Ruling Class (1972),83370,1162,
435,435,Sleeping Beauty (1959),83388,2096,7805689
436,436,Ricochet (1991),83389,56848,
437,437,Thief (1981),83396,5867,154415
438,438,The Purge: Election Year (2016),83406,160565,
439,439,Buffy the Vampire Slayer (1992),83430,3264,9494397
440,440,The Thing (2011),83436,90345,430680
441,441,All About My Mother (1999),83451,-1,
442,442,A Walk to Remember (2002),83472,5066,922412
443,443,Over the Edge (1979),83489,43177,
444,444,The Bourne Identity (1988),83539,26614,310366
445,445,Jumanji (2017),83552,-1,
446,446,Night of Dark Shadows (1971),83570,122735,
447,447,Starcrash (1979),83582,-1,
448,448,The Amityville Horror (1979),83586,1327,3593395
449,449,Kevin Hart: Let Me Explain (2013),83617,121155,
450,450,Harry and the Hendersons (1987),83624,3388,
451,451,Table 19 (2017),83655,170401,
452,452,The New Swiss Family Robinson (1998),83675,170833,
453,453,Bananas (1971),83716,1078,9587088
454,454,Five Shaolin Masters (1974),83749,155444,3791917
455,455,Mr. Holland's Opus (1995),83757,62,854492
456,456,Primal Fear (1996),83766,628,
457,457,Showboy (2002),83775,-1,3163079
458,458,Ella Enchanted (2004),83789,7380,
459,459,Europa Report (2013),83790,103306,
460,460,True Grit (2010),83814,82459,5600736
461,461,Spanglish (2004),83853,27808,3418292
462,462,My Big Love (2008),83896,-1,
463,463,The Central Park Five (2012),83905,99468,7027906
464,464,Strange Circus (2005),83947,-1,4004038
465,465,Hancock (2008),83948,60074,71770
466,466,Steel Magnolias (2012),83951,-1,7160836
467,467,The Magnificent Seven (1960),83976,4327,
468,468,Donnie Darko (2001),84001,4878,173377
469,469,127 Hours (2010),84003,81562,239264
470,470,Castaway (1986),84007,65612,
471,471,Speed Racer (2008),84009,59037,
472,472,Sleeping Beauty (1995),84026,-1,7805689
473,473,The Man Who Knew Too Much (1956),84028,2183,6844776
474,474,Hannibal (1959),84036,160606,1463239
475,475,Charlotte's Web (2006),84097,49647,9497807
476,476,Tank (1984),84100,8634,1045004
477,477,Slap Shot (1977),84153,5292,373163
478,478,Cloverfield,84195,57368,
479,479,Hiding Out (1987),84201,4115,
480,480,The City of Lost Children (1995),84248,-1,
481,481,Houseguest (1995),84269,-1,
482,482,Pineapple Express (2008),84273,61024,660922
483,483,Justice League: Gods and Monsters (2015),84310,138104,
484,484,The Wizard (1989),84332,4683,
485,485,Instructions Not Included (2013),84339,-1,7611922
486,486,Paranormal Activity 2 (2010),84363,81417,
487,487,Mickey's Magical Christmas: Snowed in at the House of Mouse,84379,-1,
488,488,Before I Fall (2017),84387,168286,
489,489,Tunisian Victory,84411,133638,
490,490,Ghost Rider (2007),84422,51077,497892
491,491,Heaven & Earth (1993),84434,465,
492,492,Godfather (2007),84436,-1,
493,493,Girlfight (2000),84456,3915,
494,494,Diva (1981),84473,1264,
495,495,First Kill (2001),84488,-1,
496,496,The Long Voyage Home (1940),84517,48123,
497,497,Smiley (2012),84524,107684,6899748
498,498,Fist of Fury,84553,-1,
499,499,Swimfan (2002),84561,5564,
500,500,The Human Centipede 3 (2015),84571,-1,
501,501,Alien 2: On Earth (1980),84597,165589,9709740
502,502,The Wedding Game (2009),84704,-1,
503,503,Jobs (2013),84710,104303,
504,504,Flatliners (2017),84766,176105,
505,505,Birdman (2014),84769,-1,
506,506,Solitary Man (2009),84772,78774,
507,507,The Triplets of Belleville (2003),84779,-1,
508,508,Manos: The Hands of Fate (1966),84788,26157,8940410
509,509,Pretty Woman (1990),84798,597,149381
510,510,Noel (2004),84823,30659,3367322
511,511,Two Weeks Notice,84828,5957,4200713
512,512,It (1966),84831,-1,96527
513,513,Vertigo (1958),84837,903,301426
514,514,Dracula 2012 (2013),84839,-1,
515,515,The Secret in Their Eyes (2009),84847,-1,223706
516,516,Shaft (2000),84853,3744,1649577
517,517,Beauty and the Beast (2017),84854,168366,449583
518,518,The To Do List (2013),84875,105037,6927368
519,519,Futurama: Bender's Big Score,84903,56251,
520,520,Guys and Dolls (1955),84907,3549,
521,521,Heidi (1965),84953,-1,3695100
522,522,Adventures of Captain Marvel (1941),84974,93520,
523,523,Simon Birch (1998),85003,2236,
524,524,The Matrix (1999),85036,2571,798039
525,525,The Breadwinner (2017),85059,181671,
526,526,Teenage Mutant Ninja Turtles III (1993),85079,3440,
527,527,The Astronaut's Wife (1999),85082,2827,
528,528,Haunted Mansion (1998),85103,-1,
529,529,The Prisoner (2013),85106,-1,5368645
530,530,The Player (1992),85120,2289,
531,531,Dora (2016),85127,-1,
532,532,Little Nicky (2000),85159,3979,
533,533,The Summit (2012),85183,109280,7569863
534,534,The Great Gilly Hopkins (2015),85195,-1,
535,535,Dahmer (2002),85198,8062,
536,536,When Ladies Meet (1933),85204,87558,
537,537,Because of You (1952),85258,-1,9546884
538,538,Bichhoo (2000),85265,-1,9464130
539,539,K2 (1991),85298,69542,
540,540,Patch Adams (1998),85301,2431,
541,541,The Babysitter (1995),85303,217,
542,542,Big Top Pee-wee (1988),85414,-1,
543,543,The Brave Little Toaster (1987),85417,4090,
544,544,This Is 40 (2012),85423,99117,
545,545,The Falls (1980),85430,4935,6773837
546,546,7 Days in Havana (2012),85442,126546,
547,547,A Haunted House (2013),85502,99787,7026425
548,548,The Black Panther (1921),85564,-1,
549,549,Confessions of a Teenage Drama Queen (2004),85566,7316,
550,550,54 (1998),85575,2188,827963
551,551,Fools Rush In (1949),85577,-1,
552,552,The Texas Chain Saw Massacre (1974),85612,-1,4780907
553,553,American Gangster (2007),85637,55765,651703
554,554,The Judge (2014),85645,115170,
555,555,Into Thin Air: Death on Everest (1997),85648,134029,
556,556,The Mummy (2017),85662,170827,95484
557,557,I Love You Phillip Morris (2009),85665,74275,5503585
558,558,The Ninth Gate (1999),85668,3355,1164287
559,559,Freddy Got Fingered (2001),85739,4255,2193581
560,560,Escape (2012),85748,-1,5617669
561,561,Due Date,85750,81537,
562,562,Society (1989),85753,5606,
563,563,Spetters (1980),85755,5249,
564,564,Kick-Ass,85764,76251,
565,565,Men (1997),85799,-1,
566,566,The Thriller (2010),85804,-1,
567,567,Rolling Thunder (1977),85811,7923,
568,568,The Mummy Returns (2001),85832,4270,268896
569,569,Bandits (1997),85851,2562,2272599
570,570,The Rage: Carrie 2 (1999),85863,2548,
571,571,Inspector Gadget (1999),85868,2720,1146318
572,572,Harry Potter and the Chamber of Secrets (2002),85875,5816,764553
573,573,Cliffhanger (1993),85879,434,
574,574,Sol Goode (2001),85908,-1,
575,575,From the Hip (1987),85925,2751,2188363
576,576,Austin Powers in Goldmember (2002),85951,5481,
577,577,In the Heart of the Sea (2015),85961,117466,
578,578,Backdraft (1991),85963,3107,
579,579,Dragon: The Bruce Lee Story (1993),85971,5055,59747
580,580,"Love, Rosie (2014)",86002,115667,8293228
581,581,Wings (1927),86045,1925,7432300
582,582,The Piano (1993),86104,509,678785
583,583,Dragon Tiger Gate (2006),86128,-1,
584,584,Spy Kids (2001),86152,4232,1497625
585,585,Ayn Rand: A Sense of Life (1996),86164,-1,
586,586,Black Sheep (1996),86168,88,3989904
587,587,Under the Tuscan Sun (2003),86191,6765,
588,588,Nothing like the Holidays (2008),86222,-1,
589,589,Puppets (1916),86240,-1,
590,590,District 9 (2009),86245,70286,
591,591,Godfather (1991),86246,-1,
592,592,Dudley Do-Right (1999),86268,2828,1394353
593,593,G.I. Joe: The Rise of Cobra (2009),86272,70336,9799990
594,594,JeruZalem (2015),86345,-1,
595,595,Red Dust (2004),86357,49234,3797828
596,596,Batman Forever (1995),86397,153,
597,597,Children of the Corn (1984),86414,2122,
598,598,The Departed (2006),86428,48516,835290
599,599,The Howling (1981),86438,-1,2142977
600,600,The Death of Stalin,86439,179119,
601,601,American Psycho 2 (2002),86442,-1,
602,602,The Net (1995),86449,185,
603,603,Predators (2010),86490,79057,5427139
604,604,The Jungle Book (1994),86506,362,515223
